Ob_ID,X,Y,2013 Yield,2014 Yield,2016 Yield,3 Yr Average Yield,Deep EC,Shallow EC,Average EC,Elevation,Slope,2016 Spring SM,2016 Fall SM,2016 Average SM,2017 Spring SM,2018 Spring SM,2019 Spring SM,(aSM-wp)/(fc-wp),Change in SM,Average Spring SM 2016-2019,PCA1,Log10_Yld16,Log_avEC,LogSlope,logElevation,SqrtYld16,16Yld^2
22,435640.3,4718137,3.536685,3.497966,4.607286,3.880646,18.09326,21.50019,19.79673,1710.648,4.222363,38.96244,8.789444,18.63908,37.44843,22.00337,38.99086,0.2247965,30.173,24.67928,-2.926568,0.6634452,1.296593,0.6255556,3.233161,2.146459,21.22708
23,435645.3,4718137,3.280015,3.288587,5.097344,3.888649,16.84178,20.4303,18.63604,1710.971,4.276611,38.91703,8.658966,18.58749,37.76338,21.94973,39.22546,0.2262088,30.25806,24.73428,-2.847044,0.7073439,1.270354,0.6310997,3.233243,2.25773,25.98292
24,435650.3,4718137,3.069033,3.277634,4.840786,3.729151,14.17899,17.27137,15.72518,1711.257,4.330352,38.863,8.753647,18.61894,38.04922,21.89313,38.97625,0.2320041,30.10935,24.77895,-3.207664,0.6849159,1.196596,0.6365232,3.233315,2.200179,23.43321
25,435655.2,4718137,3.173312,3.301196,4.407304,3.627271,10.70231,14.18416,12.44324,1711.415,4.380485,38.8103,8.612085,18.49595,38.32468,21.84187,38.61681,0.2264972,30.19821,24.82109,-3.633755,0.644173,1.094933,0.6415222,3.233355,2.099358,19.42433
26,435660.2,4718137,3.259093,3.315569,4.729138,3.767933,7.440417,12.38852,9.914468,1711.641,4.426594,38.74468,8.563681,18.48549,38.5977,21.78441,38.62486,0.2267915,30.181,24.85875,-3.665629,0.674782,0.9962694,0.6460697,3.233413,2.174658,22.36475
27,435665.2,4718137,3.213309,3.332983,4.585936,3.710743,6.954304,12.22899,9.591647,1711.772,4.464774,38.67827,8.524023,18.47534,38.8439,21.71804,38.63206,0.227131,30.15425,24.8873,-3.805636,0.661428,0.9818932,0.6497995,3.233446,2.14148,21.03081
28,435670.2,4718137,2.974204,3.27503,4.342105,3.530446,6.777613,12.26735,9.522481,1711.954,4.491991,38.60924,8.494673,18.46559,39.03493,21.65537,38.38146,0.2293615,30.11457,24.90202,-3.996409,0.6377003,0.9787501,0.6524389,3.233492,2.083772,18.85388
29,435675.2,4718137,2.931218,3.236347,4.541845,3.569803,5.669948,11.52894,8.599444,1712.061,4.539504,38.51831,8.606063,18.53641,39.14913,21.59598,38.38624,0.2336939,29.91225,24.89317,-3.985859,0.6572323,0.9344704,0.6570084,3.233519,2.13116,20.62836
30,435680.2,4718137,2.835736,3.159149,4.850934,3.615273,5.370266,11.5387,8.454483,1712.193,4.550936,38.39979,8.600588,18.52771,39.16036,21.54709,38.47752,0.2348774,29.7992,24.85451,-3.880198,0.6858254,0.9270871,0.6581007,3.233553,2.202484,23.53156
31,435685.2,4718137,2.834511,3.076425,4.835792,3.582243,5.198928,11.83621,8.517569,1712.251,4.541032,38.27288,8.609278,18.5197,39.07482,21.52006,38.46967,0.2361714,29.6636,24.79468,-3.898575,0.6844676,0.9303157,0.6571546,3.233567,2.199043,23.38488
32,435690.2,4718137,3.655352,3.017411,5.040993,3.904585,4.775172,11.06065,7.917911,1712.283,4.466967,38.14304,8.63189,18.51241,38.92005,21.50827,38.03586,0.2381775,29.51115,24.71976,-3.801631,0.7025161,0.8986106,0.6500127,3.233576,2.245216,25.41161
33,435695.1,4718137,3.948045,3.016881,5.088831,4.017919,5.24059,11.07466,8.157625,1712.271,4.430045,38.021,8.664268,18.50584,38.71007,21.5093,38.00776,0.2387905,29.35673,24.63686,-3.749264,0.706618,0.9115637,0.6464081,3.233573,2.255844,25.8962
34,435700.1,4718137,4.201917,2.961549,4.967859,4.043775,6.703856,12.03134,9.367598,1712.214,4.376184,37.91688,8.705649,18.49994,38.45294,21.5137,38.28454,0.2391392,29.21123,24.54741,-3.720253,0.6961693,0.9716282,0.6410956,3.233558,2.228869,24.67962
35,435705.1,4718137,4.598015,2.975387,5.477744,4.350382,8.519803,13.08789,10.80385,1712.151,4.308699,37.83744,8.756617,18.39697,38.16341,21.52203,37.72495,0.2396544,29.08082,24.45676,-3.356538,0.7386017,1.033579,0.6343462,3.233542,2.340458,30.00568
